Stokes I Q U V
 Time (s)               Data...
  0.000650000002 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06
 -6.22316563E-08
  0.0013 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.00194999995 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.00260000001 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.00325000007 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.00389999989 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.00455000019 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.00520000001 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.00584999984 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.00650000013 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.00714999996 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.00779999979 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.00844999962 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.00910000037 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0097500002 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0104 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0110499999 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0116999997 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0123500004 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0130000003 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0136500001 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0142999999 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0149499997 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0155999996 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0162499994 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0168999992 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0175500009 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0182000007 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0188500006 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0195000004 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0201500002 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
  0.0208000001 -1.13370852E-05 -2.24942846E-06 -1.72240652E-06 -6.22316563E-08
